epoch,accuracy,loss,val_accuracy,val_loss
1,0.4403829276561737,1.9793428182601929,0.7534722089767456,1.483045220375061
2,0.777197539806366,1.1503273248672485,0.9027777910232544,0.6976176500320435
3,0.8764142990112305,0.5944563150405884,0.9340277910232544,0.37283265590667725
4,0.9086161851882935,0.37666502594947815,0.9479166865348816,0.26389047503471375
5,0.9321148991584778,0.2893889248371124,0.9652777910232544,0.21438585221767426
6,0.9408181309700012,0.24158450961112976,0.9548611044883728,0.1886884719133377
7,0.942558765411377,0.20427961647510529,0.96875,0.15932971239089966
8,0.9564839005470276,0.1768268644809723,0.9548611044883728,0.15274381637573242
9,0.965187132358551,0.1446629762649536,0.9583333134651184,0.13921509683132172
10,0.9634464979171753,0.1389400064945221,0.9583333134651184,0.13090091943740845
11,0.9686684012413025,0.12920887768268585,0.9652777910232544,0.12103094160556793
12,0.9730200171470642,0.11800745129585266,0.9722222089767456,0.11041036993265152
13,0.9738903641700745,0.1057971864938736,0.96875,0.10931822657585144
14,0.9791122674942017,0.09237069636583328,0.9652777910232544,0.11107411980628967
15,0.9738903641700745,0.09618034213781357,0.9618055820465088,0.0998554527759552
16,0.9765012860298157,0.08561943471431732,0.9618055820465088,0.10783428698778152
17,0.9791122674942017,0.07831017673015594,0.9618055820465088,0.10400746017694473
18,0.9825935363769531,0.07286825776100159,0.9756944179534912,0.0867290198802948
19,0.9852045178413391,0.06418345868587494,0.9618055820465088,0.10440915822982788
20,0.9825935363769531,0.07119113951921463,0.96875,0.10072477906942368
21,0.9860748648643494,0.062432948499917984,0.9722222089767456,0.08357267826795578
22,0.9869451522827148,0.05328457057476044,0.9756944179534912,0.07846192270517349
23,0.9825935363769531,0.05946604907512665,0.96875,0.08579480648040771
24,0.9921671152114868,0.04408367723226547,0.9756944179534912,0.07522258907556534
25,0.9869451522827148,0.04843065142631531,0.9756944179534912,0.08514844626188278
26,0.9912967681884766,0.04335270822048187,0.9756944179534912,0.07201719284057617
27,0.9912967681884766,0.04081970453262329,0.9756944179534912,0.08268626034259796
28,0.9904264807701111,0.04357828572392464,0.9791666865348816,0.0737607553601265
29,0.9947780966758728,0.035191360861063004,0.9791666865348816,0.0665491446852684
30,0.9886857867240906,0.0412069708108902,0.9652777910232544,0.08708196878433228
31,0.9939077496528625,0.0370107926428318,0.9722222089767456,0.09335584193468094
32,0.9912967681884766,0.03456515073776245,0.9826388955116272,0.06451860070228577
33,0.9939077496528625,0.03350374102592468,0.9791666865348816,0.062968410551548
34,0.9921671152114868,0.033058736473321915,0.9756944179534912,0.0671437606215477
35,0.9947780966758728,0.03383495286107063,0.9756944179534912,0.08000108599662781
36,0.9930374026298523,0.028927452862262726,0.9791666865348816,0.06332655996084213
37,0.9965187311172485,0.024799732491374016,0.9791666865348816,0.05877791345119476
38,0.9939077496528625,0.027646098285913467,0.9756944179534912,0.0689702033996582
39,0.9912967681884766,0.028875773772597313,0.9756944179534912,0.07040198147296906
40,0.9991296529769897,0.01758335344493389,0.9756944179534912,0.06322810053825378
41,0.9956483840942383,0.02356572262942791,0.9756944179534912,0.06240575760602951
42,0.9982593655586243,0.017216917127370834,0.9791666865348816,0.06072229892015457
43,0.9956483840942383,0.02008173242211342,0.9756944179534912,0.07932798564434052
