feature,coefficient,odds_ratio
categorical__contract_month-to-month,0.9579921847673459,2.6064579302339705
categorical__contract_two-year,-0.5691978823594946,0.5659792386061968
categorical__support_plan_no,0.5541849618824444,1.7405218148902888
categorical__support_plan_yes,-0.552807104745389,0.5753325228396783
numeric__tenure_months,-0.47310037185657483,0.6230675295942861
categorical__internet_service_fiber,0.46897813962587437,1.5983600576238817
categorical__contract_one-year,-0.38741644527079466,0.6788083495297939
categorical__city_Nablus,-0.38203797801360306,0.6824691338911606
categorical__internet_service_none,-0.3285454472841046,0.7199702067917411
numeric__monthly_charges,0.2767839801966891,1.3188814357518934
categorical__city_Hebron,0.1502382908389228,1.1621111301732325
categorical__city_Bethlehem,0.14329349969632008,1.1540684707096345
categorical__internet_service_dsl,-0.13905483520471526,0.8701803106344824
categorical__city_Ramallah,0.08988404461541585,1.0940474156609998
